"Wijken en buurten";"Vrije tijd en cultuur/Afstand tot bibliotheek (km)"
"Nederland";"     2.0"
"Burgwallen-Oude Zijde";"     1.1"
"Burgwallen-Nieuwe Zijde";"     1.5"
"Grachtengordel-West";"     1.4"
"Grachtengordel-Zuid";"     1.7"
"Nieuwmarkt/Lastage";"     1.2"
"Haarlemmerbuurt";"     1.2"
"Jordaan";"     1.0"
"De Weteringschans";"     1.4"
"Weesperbuurt/Plantage";"     1.5"
"Oostelijke Eilanden/Kadijken";"     1.6"
