"Perioden";"Wijken en buurten";"Particuliere huishoudens (Aantal)";"SES-WOA/Totaalscore/Gemiddelde score (Getal)";"Spreiding/Spreiding totaal/Waarde (Getal)"
"2019";"Burgwallen-Oude Zijde";"    2900";"  -0.022";"   0.892"
"2019";"Burgwallen-Nieuwe Zijde";"    2800";"   0.042";"   0.842"
"2019";"Grachtengordel-West";"    3800";"   0.283";"   0.764"
"2019";"Nieuwmarkt/Lastage";"    6200";"   0.034";"   0.919"
"2019";"Haarlemmerbuurt";"    5500";"   0.062";"   0.926"
"2019";"Jordaan";"   12700";"   0.004";"   0.928"
"2019";"De Weteringschans";"    4500";"   0.178";"   0.843"
"2019";"Weesperbuurt/Plantage";"    4200";"   0.115";"   0.909"
"2019";"Oostelijke Eilanden/Kadijken";"    7700";"  -0.043";"   1.004"
