"Perioden";"Wijken en buurten";"Regiocode (gemeente, wijk, buurt) (code)";"Particuliere huishoudens (Aantal)";"Opleidingsniveau/Laag/Waarde (%)";"Opleidingsniveau/Middelbaar/Waarde (%)";"Opleidingsniveau/Hoog/Waarde (%)";"SES-WOA/Totaalscore/Gemiddelde score (Getal)"
"2019";"Amsterdam";"GM0363    ";"  457400";"    20.8";"    29.8";"    49.5";"  -0.100"
"2019";"Burgwallen-Oude Zijde";"WK036300  ";"    2900";"    12.9";"    28.9";"    58.2";"  -0.022"
"2019";"Kop Zeedijk";"BU03630000";"     700";"    12.4";"    27.0";"    60.6";"   0.045"
"2019";"Oude Kerk e.o.";"BU03630001";"     500";"    14.8";"    30.7";"    54.5";"  -0.110"
"2019";"Burgwallen Oost";"BU03630002";"    1100";"    15.3";"    30.7";"    54.0";"  -0.082"
"2019";"Nes e.o.";"BU03630003";"     200";"     5.2";"    27.8";"    67.1";"   0.192"
"2019";"BG-terrein e.o.";"BU03630004";"     400";"     9.9";"    26.2";"    63.8";"   0.002"
"2019";"Burgwallen-Nieuwe Zijde";"WK036301  ";"    2800";"    10.7";"    28.9";"    60.4";"   0.042"
"2019";"Stationsplein e.o.";"BU03630100";"       0";"       .";"       .";"       .";"       ."
"2019";"Hemelrijk";"BU03630101";"     400";"    11.7";"    29.2";"    59.1";"   0.056"
"2019";"Nieuwendijk Noord";"BU03630102";"     300";"     9.9";"    33.9";"    56.3";"  -0.066"
"2019";"Spuistraat Noord";"BU03630103";"     500";"     9.6";"    27.9";"    62.5";"   0.075"
"2019";"Nieuwe Kerk e.o.";"BU03630104";"     500";"    11.3";"    28.3";"    60.5";"   0.088"
"2019";"Spuistraat Zuid";"BU03630105";"     500";"    10.7";"    27.3";"    62.0";"   0.015"
"2019";"Begijnhofbuurt";"BU03630106";"     300";"    13.7";"    27.2";"    59.1";"   0.004"
"2019";"Kalverdriehoek";"BU03630107";"     200";"     6.6";"    32.1";"    61.2";"   0.108"
"2019";"Grachtengordel-West";"WK036302  ";"    3800";"     7.7";"    22.4";"    69.9";"   0.283"
"2019";"Langestraat e.o.";"BU03630200";"    1100";"     8.2";"    22.0";"    69.8";"   0.312"
"2019";"Leliegracht e.o.";"BU03630201";"    1000";"     7.4";"    22.4";"    70.2";"   0.273"
"2019";"Felix Meritisbuurt";"BU03630202";"    1300";"     8.1";"    22.6";"    69.3";"   0.274"
"2019";"Leidsegracht Noord";"BU03630203";"     400";"     6.0";"    22.4";"    71.6";"   0.254"
"2019";"Grachtengordel-Zuid";"WK036303  ";"    3300";"     8.5";"    24.9";"    66.7";"   0.234"
"2019";"Spiegelbuurt";"BU03630300";"     500";"     8.6";"    21.9";"    69.5";"   0.310"
"2019";"Gouden Bocht";"BU03630301";"     100";"       .";"       .";"       .";"       ."
"2019";"Van Loonbuurt";"BU03630302";"     800";"     8.1";"    23.4";"    68.5";"   0.255"
"2019";"Amstelveldbuurt";"BU03630303";"     900";"     7.3";"    25.1";"    67.6";"   0.267"
"2019";"Rembrandtpleinbuurt";"BU03630304";"     300";"     9.5";"    25.3";"    65.2";"   0.149"
"2019";"Reguliersbuurt";"BU03630305";"     200";"    12.5";"    35.4";"    52.1";"  -0.076"
"2019";"Leidsegracht Zuid";"BU03630306";"     400";"     8.7";"    23.8";"    67.6";"   0.278"
"2019";"Nieuwmarkt/Lastage";"WK036304  ";"    6200";"    13.8";"    26.4";"    59.9";"   0.034"
"2019";"Oosterdokseiland";"BU03630400";"     300";"    13.2";"    22.1";"    64.7";"   0.283"
"2019";"Scheepvaarthuisbuurt";"BU03630401";"     500";"     7.6";"    25.4";"    66.9";"   0.155"
"2019";"Rapenburg";"BU03630402";"     500";"     9.9";"    26.2";"    63.9";"   0.052"
"2019";"Lastage";"BU03630403";"     700";"     9.6";"    25.9";"    64.5";"   0.132"
"2019";"Nieuwmarkt";"BU03630404";"    1100";"    18.6";"    28.3";"    53.1";"  -0.150"
"2019";"Uilenburg";"BU03630405";"     800";"    12.6";"    26.3";"    61.1";"   0.095"
"2019";"Valkenburg";"BU03630406";"     800";"    15.1";"    23.7";"    61.2";"   0.083"
"2019";"Zuiderkerkbuurt";"BU03630407";"    1000";"    16.0";"    28.2";"    55.8";"  -0.053"
"2019";"Waterloopleinbuurt";"BU03630408";"     600";"    14.4";"    26.6";"    59.0";"   0.027"
"2019";"Haarlemmerbuurt";"WK036305  ";"    5500";"    14.8";"    25.8";"    59.4";"   0.062"
"2019";"Westerdokseiland";"BU03630500";"    1000";"    14.1";"    22.3";"    63.6";"   0.269"
"2019";"Haarlemmerbuurt Oost";"BU03630501";"    1000";"    13.6";"    25.2";"    61.2";"   0.067"
"2019";"Haarlemmerbuurt West";"BU03630502";"    1500";"    16.3";"    28.1";"    55.5";"  -0.009"
"2019";"Westelijke eilanden";"BU03630503";"    1700";"    13.8";"    25.9";"    60.4";"   0.057"
"2019";"Planciusbuurt Noord";"BU03630505";"     200";"    15.2";"    27.2";"    57.6";"  -0.072"
"2019";"Planciusbuurt Zuid";"BU03630506";"     100";"    25.5";"    26.6";"    47.9";"  -0.476"
"2019";"Jordaan";"WK036306  ";"   12700";"    15.6";"    27.0";"    57.3";"   0.004"
"2019";"Driehoekbuurt";"BU03630600";"    1800";"    15.1";"    26.5";"    58.4";"  -0.017"
"2019";"Bloemgrachtbuurt";"BU03630602";"    1800";"    13.2";"    24.5";"    62.4";"   0.121"
"2019";"Marnixbuurt Noord";"BU03630603";"     900";"    21.1";"    31.2";"    47.7";"  -0.153"
"2019";"Zaagpoortbuurt";"BU03630604";"     700";"    18.2";"    31.0";"    50.8";"  -0.234"
"2019";"Marnixbuurt Midden";"BU03630605";"     100";"    10.5";"    23.8";"    65.6";"   0.280"
"2019";"Elandsgrachtbuurt";"BU03630606";"    2800";"    15.3";"    27.1";"    57.6";"   0.020"
"2019";"Passeerdersgrachtbuurt";"BU03630607";"     600";"    15.2";"    25.6";"    59.2";"   0.045"
"2019";"Groenmarktkadebuurt";"BU03630608";"     200";"     9.8";"    25.4";"    64.7";"   0.141"
"2019";"Marnixbuurt Zuid";"BU03630609";"     500";"    16.8";"    28.1";"    55.1";"   0.000"
"2019";"Anjeliersbuurt Noord";"BU03630610";"    1300";"    14.8";"    26.1";"    59.0";"   0.064"
"2019";"Anjeliersbuurt Zuid";"BU03630611";"    1900";"    16.4";"    27.5";"    56.1";"  -0.027"
"2019";"De Weteringschans";"WK036307  ";"    4500";"     9.5";"    24.7";"    65.8";"   0.178"
"2019";"Leidsebuurt Noordwest";"BU03630700";"     200";"     9.5";"    29.1";"    61.4";"   0.131"
"2019";"Leidsebuurt Zuidwest";"BU03630701";"     100";"       .";"       .";"       .";"       ."
"2019";"Leidsebuurt Noordoost";"BU03630702";"     700";"     9.9";"    29.0";"    61.0";"   0.008"
"2019";"Leidsebuurt Zuidoost";"BU03630703";"     200";"    10.9";"    29.6";"    59.5";"   0.079"
"2019";"Weteringbuurt";"BU03630704";"    1500";"     7.7";"    23.6";"    68.7";"   0.212"
"2019";"Den Texbuurt";"BU03630705";"     600";"    10.1";"    23.3";"    66.5";"   0.239"
"2019";"Utrechtsebuurt Zuid";"BU03630706";"     700";"    12.5";"    22.8";"    64.7";"   0.146"
"2019";"Frederikspleinbuurt";"BU03630707";"     500";"     8.4";"    20.8";"    70.8";"   0.359"
"2019";"Weesperbuurt/Plantage";"WK036308  ";"    4200";"    10.3";"    25.8";"    63.9";"   0.115"
"2019";"Weesperbuurt";"BU03630800";"    1900";"    11.7";"    28.1";"    60.2";"   0.025"
"2019";"Sarphatistrook";"BU03630801";"    1100";"    10.9";"    24.9";"    64.3";"   0.084"
"2019";"de Plantage";"BU03630803";"    1000";"     7.6";"    22.8";"    69.6";"   0.285"
"2019";"Alexanderplein e.o.";"BU03630804";"     200";"     7.0";"    24.8";"    68.3";"   0.261"
"2019";"Oostelijke Eilanden/Kadijken";"WK036309  ";"    7700";"    16.7";"    27.0";"    56.3";"  -0.043"
"2019";"Marine-Etablissement";"BU03630900";"       0";"       .";"       .";"       .";"       ."
"2019";"Kattenburg";"BU03630901";"    1000";"    20.3";"    34.3";"    45.3";"  -0.332"
"2019";"Wittenburg";"BU03630902";"    1300";"    18.2";"    29.2";"    52.7";"  -0.054"
"2019";"Oostenburg";"BU03630903";"    1000";"    19.9";"    24.9";"    55.3";"  -0.104"
"2019";"Czaar Peterbuurt";"BU03630904";"    1500";"    17.1";"    29.2";"    53.7";"  -0.124"
"2019";"Het Funen";"BU03630905";"     600";"    11.2";"    20.4";"    68.4";"   0.303"
"2019";"Kazernebuurt";"BU03630907";"     600";"    17.8";"    26.2";"    56.0";"  -0.087"
"2019";"Kadijken";"BU03630908";"    1700";"    13.3";"    23.0";"    63.8";"   0.124"
