"Perioden";"Wijken en buurten";"Regiocode (gemeente, wijk, buurt) (code)";"Particuliere huishoudens (Aantal)";"Opleidingsniveau/Laag/Waarde (%)";"Opleidingsniveau/Middelbaar/Waarde (%)";"Opleidingsniveau/Hoog/Waarde (%)";"SES-WOA/Totaalscore/Gemiddelde score (Getal)"
"2019";"Waterland";"WK036373  ";"     900";"    11.5";"    24.3";"    64.2";"   0.456"
"2019";"Schellingwoude West";"BU03637300";"       0";"       .";"       .";"       .";"       ."
"2019";"Schellingwoude Oost";"BU03637301";"     300";"     9.6";"    19.6";"    70.7";"   0.508"
"2019";"Schellingwoude Noord";"BU03637302";"       0";"       .";"       .";"       .";"       ."
"2019";"Durgerdam";"BU03637303";"     200";"     7.4";"    20.9";"    71.7";"   0.544"
"2019";"Zwarte Gouw";"BU03637304";"       0";"       .";"       .";"       .";"       ."
"2019";"Ransdorp";"BU03637305";"     100";"    11.8";"    24.5";"    63.7";"   0.525"
"2019";"Holysloot";"BU03637306";"     100";"    12.6";"    27.3";"    60.1";"   0.535"
"2019";"Zunderdorp";"BU03637307";"     200";"    14.4";"    32.2";"    53.4";"   0.323"
"2019";"Noorderstrook West";"BU03637308";"       0";"       .";"       .";"       .";"       ."
"2019";"Noorderstrook Oost";"BU03637309";"       0";"       .";"       .";"       .";"       ."
"2019";"Elzenhagen";"WK036374  ";"    1200";"    16.9";"    26.9";"    56.2";"   0.167"
"2019";"Nintemanterrein";"BU03637400";"       0";"       .";"       .";"       .";"       ."
"2019";"Elzenhagen Zuid";"BU03637401";"     200";"    30.8";"    32.6";"    36.6";"  -0.704"
"2019";"Elzenhagen Noord";"BU03637402";"     900";"    13.7";"    25.8";"    60.6";"   0.384"
"2019";"Chassébuurt";"WK036375  ";"    3200";"    20.9";"    25.8";"    53.3";"  -0.109"
"2019";"Kortenaerkwartier";"BU03637500";"    1100";"    18.3";"    24.7";"    57.0";"  -0.068"
"2019";"Filips van Almondekwartier";"BU03637501";"     600";"    16.2";"    22.2";"    61.6";"   0.036"
"2019";"De Wester Quartier";"BU03637502";"     900";"    24.1";"    29.1";"    46.8";"  -0.200"
"2019";"Van Brakelkwartier";"BU03637503";"     500";"    27.3";"    26.8";"    45.8";"  -0.222"
"2019";"Slotermeer-Noordoost";"WK036376  ";"    4400";"    35.0";"    34.9";"    30.1";"  -0.460"
"2019";"Buurt 3";"BU03637600";"    2900";"    34.3";"    35.4";"    30.3";"  -0.433"
"2019";"Buurt 2";"BU03637601";"    1500";"    36.4";"    33.9";"    29.7";"  -0.513"
"2019";"Slotermeer-Zuidwest";"WK036377  ";"    8500";"    34.5";"    35.2";"    30.3";"  -0.463"
"2019";"Slotermeer Zuid";"BU03637700";"    1900";"    37.4";"    36.4";"    26.2";"  -0.633"
"2019";"Noordoever Sloterplas";"BU03637701";"    1600";"    23.8";"    31.7";"    44.5";"  -0.095"
"2019";"Buurt 4 Oost";"BU03637702";"    1700";"    31.9";"    36.6";"    31.4";"  -0.354"
"2019";"Buurt 5 Noord";"BU03637703";"    1500";"    44.2";"    36.0";"    19.8";"  -0.709"
"2019";"Sloterpark";"BU03637704";"       0";"       .";"       .";"       .";"       ."
"2019";"Buurt 5 Zuid";"BU03637705";"    1700";"    36.1";"    34.7";"    29.2";"  -0.521"
"2019";"Geuzenveld";"WK036378  ";"    6900";"    34.4";"    38.2";"    27.4";"  -0.416"
"2019";"Buurt 6";"BU03637800";"    1300";"    39.6";"    38.2";"    22.2";"  -0.602"
"2019";"Buurt 7";"BU03637801";"    1100";"    30.0";"    39.1";"    30.8";"  -0.185"
"2019";"Buurt 8";"BU03637802";"    1700";"    28.6";"    37.8";"    33.5";"  -0.325"
