"Perioden";"Wijken en buurten";"Particuliere huishoudens (Aantal)";"SES-WOA/Totaalscore/Gemiddelde score (Getal)";"Spreiding/Spreiding totaal/Waarde (Getal)"
"2019";"Amsterdam";"  457400";"  -0.100";"   1.010"
"2019";"Burgwallen-Oude Zijde";"    2900";"  -0.022";"   0.892"
"2019";"Kop Zeedijk";"     700";"   0.045";"   0.856"
"2019";"Oude Kerk e.o.";"     500";"  -0.110";"   0.916"
"2019";"Burgwallen Oost";"    1100";"  -0.082";"   0.916"
"2019";"Nes e.o.";"     200";"   0.192";"   0.785"
"2019";"BG-terrein e.o.";"     400";"   0.002";"   0.875"
"2019";"Burgwallen-Nieuwe Zijde";"    2800";"   0.042";"   0.842"
"2019";"Stationsplein e.o.";"       0";"       .";"       ."
"2019";"Hemelrijk";"     400";"   0.056";"   0.838"
"2019";"Nieuwendijk Noord";"     300";"  -0.066";"   0.880"
"2019";"Spuistraat Noord";"     500";"   0.075";"   0.811"
"2019";"Nieuwe Kerk e.o.";"     500";"   0.088";"   0.855"
"2019";"Spuistraat Zuid";"     500";"   0.015";"   0.855"
"2019";"Begijnhofbuurt";"     300";"   0.004";"   0.792"
"2019";"Kalverdriehoek";"     200";"   0.108";"   0.828"
"2019";"Grachtengordel-West";"    3800";"   0.283";"   0.764"
"2019";"Langestraat e.o.";"    1100";"   0.312";"   0.741"
"2019";"Leliegracht e.o.";"    1000";"   0.273";"   0.783"
"2019";"Felix Meritisbuurt";"    1300";"   0.274";"   0.770"
"2019";"Leidsegracht Noord";"     400";"   0.254";"   0.755"
"2019";"Grachtengordel-Zuid";"    3300";"   0.234";"   0.798"
"2019";"Spiegelbuurt";"     500";"   0.310";"   0.752"
"2019";"Gouden Bocht";"     100";"       .";"       ."
"2019";"Van Loonbuurt";"     800";"   0.255";"   0.772"
"2019";"Amstelveldbuurt";"     900";"   0.267";"   0.799"
"2019";"Rembrandtpleinbuurt";"     300";"   0.149";"   0.790"
"2019";"Reguliersbuurt";"     200";"  -0.076";"   0.895"
