"Perioden";"Wijken en buurten";"Regiocode (gemeente, wijk, buurt) (code)";"Particuliere huishoudens (Aantal)";"Opleidingsniveau/Laag/Waarde (%)";"Opleidingsniveau/Middelbaar/Waarde (%)";"Opleidingsniveau/Hoog/Waarde (%)";"SES-WOA/Totaalscore/Gemiddelde score (Getal)"
"2019";"Buitenveldert West Midden";"BU03639008";"     500";"    16.8";"    24.6";"    58.6";"   0.220"
"2019";"Zuiderhof";"BU03639009";"       0";"       .";"       .";"       .";"       ."
"2019";"Buitenveldert-Oost";"WK036391  ";"    4400";"    18.5";"    29.5";"    52.0";"   0.010"
"2019";"De Klenckebuurt";"BU03639100";"     400";"    17.2";"    25.0";"    57.8";"   0.271"
"2019";"Buitenveldert Oost Midden";"BU03639101";"    1900";"    24.1";"    32.1";"    43.8";"  -0.123"
"2019";"Buitenveldert Zuidoost";"BU03639102";"    2100";"    13.5";"    27.9";"    58.6";"   0.086"
"2019";"Amstelpark";"BU03639103";"       0";"       .";"       .";"       .";"       ."
"2019";"Amstel III/Bullewijk";"WK036392  ";"     500";"     6.4";"    57.9";"    35.7";"  -0.588"
"2019";"Hoofdcentrum Zuidoost";"BU03639200";"       0";"       .";"       .";"       .";"       ."
"2019";"Amstel III deel A/B Noord";"BU03639201";"       0";"       .";"       .";"       .";"       ."
"2019";"Amstel III deel C/D Noord";"BU03639202";"       0";"       .";"       .";"       .";"       ."
"2019";"Amstel III deel A/B Zuid";"BU03639203";"     400";"     2.7";"    65.5";"    31.8";"  -0.723"
"2019";"Amstel III deel C/D Zuid";"BU03639204";"       0";"       .";"       .";"       .";"       ."
"2019";"AMC";"BU03639205";"       0";"       .";"       .";"       .";"       ."
"2019";"Hoge Dijk";"BU03639206";"     100";"       .";"       .";"       .";"       ."
"2019";"Bijlmer Centrum (D,F,H)";"WK036393  ";"   12800";"    32.0";"    41.1";"    26.9";"  -0.567"
"2019";"Venserpolder West";"BU03639300";"    3000";"    36.1";"    38.0";"    25.9";"  -0.528"
"2019";"Venserpolder Oost";"BU03639301";"    2000";"    32.2";"    38.0";"    29.8";"  -0.410"
"2019";"D-buurt";"BU03639302";"    1400";"    12.4";"    63.6";"    24.0";"  -0.915"
"2019";"F-buurt";"BU03639303";"    1600";"    27.6";"    36.4";"    36.1";"  -0.233"
"2019";"Amsterdamse Poort";"BU03639304";"     700";"    41.3";"    38.8";"    19.9";"  -0.798"
"2019";"Hoptille";"BU03639305";"     900";"    28.3";"    47.7";"    24.1";"  -0.739"
"2019";"Rechte H-buurt";"BU03639306";"    1500";"    43.4";"    35.6";"    21.1";"  -0.695"
"2019";"Hakfort/Huigenbos";"BU03639307";"    1300";"    36.2";"    39.2";"    24.6";"  -0.697"
"2019";"Huntum";"BU03639308";"     100";"       .";"       .";"       .";"       ."
"2019";"Vogeltjeswei";"BU03639309";"     300";"    27.3";"    35.9";"    36.7";"  -0.140"
