"Perioden";"Wijken en buurten";"Regiocode (gemeente, wijk, buurt) (code)";"Particuliere huishoudens (Aantal)";"Opleidingsniveau/Laag/Waarde (%)";"Opleidingsniveau/Middelbaar/Waarde (%)";"Opleidingsniveau/Hoog/Waarde (%)";"SES-WOA/Totaalscore/Gemiddelde score (Getal)"
"2019";"Frankendael";"WK036355  ";"    6100";"    19.2";"    30.0";"    50.7";"  -0.166"
"2019";"De Eenhoorn";"BU03635501";"    1400";"     7.2";"    37.6";"    55.3";"  -0.400"
"2019";"Julianapark";"BU03635502";"     600";"    10.2";"    18.3";"    71.5";"   0.394"
"2019";"Don Bosco";"BU03635503";"    1000";"    14.4";"    20.4";"    65.2";"   0.203"
"2019";"Frankendael";"BU03635504";"       0";"       .";"       .";"       .";"       ."
"2019";"Tuindorp Amstelstation";"BU03635505";"     500";"    39.2";"    36.0";"    24.8";"  -0.675"
"2019";"De Wetbuurt";"BU03635506";"     900";"    21.9";"    29.4";"    48.7";"  -0.011"
"2019";"Tuindorp Frankendael";"BU03635507";"    1400";"    27.6";"    32.5";"    39.9";"  -0.301"
"2019";"Van der Kunbuurt";"BU03635508";"     300";"    28.8";"    31.3";"    39.9";"  -0.425"
"2019";"Middenmeer";"WK036356  ";"    8100";"    11.7";"    29.4";"    58.9";"   0.035"
"2019";"Linnaeusparkbuurt";"BU03635600";"    1300";"    10.5";"    21.3";"    68.3";"   0.301"
"2019";"Middenmeer Noord";"BU03635601";"    1300";"    12.3";"    22.5";"    65.1";"   0.241"
"2019";"Middenmeer Zuid";"BU03635602";"    2400";"    12.3";"    22.8";"    64.9";"   0.257"
"2019";"Sportpark Middenmeer Zuid";"BU03635603";"     200";"    24.2";"    27.8";"    48.0";"   0.141"
"2019";"Sportpark Middenmeer Noord";"BU03635604";"     200";"    28.0";"    43.1";"    29.0";"  -1.152"
"2019";"Park de Meer";"BU03635605";"     700";"    15.4";"    24.7";"    59.9";"   0.244"
"2019";"Sportpark Voorland";"BU03635606";"       0";"       .";"       .";"       .";"       ."
"2019";"Science Park Noord";"BU03635607";"    1600";"     3.8";"    50.1";"    46.0";"  -0.446"
"2019";"Science Park Zuid";"BU03635608";"     200";"    25.7";"    41.1";"    33.2";"  -1.106"
"2019";"Betondorp";"WK036357  ";"    2000";"    32.8";"    32.5";"    34.7";"  -0.379"
"2019";"Betondorp";"BU03635700";"    2000";"    32.9";"    32.4";"    34.7";"  -0.380"
"2019";"Nieuwe Oosterbegraafplaats";"BU03635701";"       0";"       .";"       .";"       .";"       ."
"2019";"Drieburg";"BU03635702";"       0";"       .";"       .";"       .";"       ."
"2019";"Omval/Overamstel";"WK036358  ";"    3100";"     4.5";"    32.1";"    63.4";"  -0.102"
"2019";"Weespertrekvaart";"BU03635801";"     800";"     4.8";"    36.3";"    58.8";"  -0.475"
"2019";"Amstelglorie";"BU03635804";"       0";"       .";"       .";"       .";"       ."
"2019";"Overamstel";"BU03635805";"       0";"       .";"       .";"       .";"       ."
"2019";"Amstelkwartier Noord";"BU03635806";"    1200";"     4.2";"    26.1";"    69.7";"   0.060"
"2019";"De Omval";"BU03635807";"     400";"     5.2";"    15.1";"    79.7";"   0.563"
"2019";"Amstelkwartier Zuid";"BU03635808";"       0";"       .";"       .";"       .";"       ."
"2019";"Amstelkwartier West";"BU03635809";"     600";"     3.6";"    52.1";"    44.3";"  -0.448"
"2019";"Prinses Irenebuurt e.o.";"WK036359  ";"     700";"     6.5";"    19.0";"    74.5";"   0.520"
"2019";"Prinses Irenebuurt";"BU03635900";"     700";"     6.5";"    19.0";"    74.5";"   0.520"
"2019";"Beatrixpark";"BU03635901";"       0";"       .";"       .";"       .";"       ."
"2019";"Volewijck";"WK036360  ";"    5000";"    34.7";"    33.6";"    31.7";"  -0.495"
"2019";"Van der Pekbuurt";"BU03636000";"    2500";"    33.5";"    33.8";"    32.8";"  -0.553"
"2019";"Bloemenbuurt Zuid";"BU03636001";"    1200";"    37.9";"    33.3";"    28.8";"  -0.556"
"2019";"Bloemenbuurt Noord";"BU03636002";"    1200";"    34.1";"    33.5";"    32.3";"  -0.318"
"2019";"IJplein/Vogelbuurt";"WK036361  ";"    4300";"    30.2";"    33.7";"    36.2";"  -0.385"
"2019";"IJplein e.o.";"BU03636100";"    1400";"    30.4";"    35.3";"    34.3";"  -0.401"
"2019";"Vogelbuurt Zuid";"BU03636101";"    2100";"    30.8";"    33.3";"    35.9";"  -0.415"
"2019";"Vogelbuurt Noord";"BU03636102";"     700";"    30.3";"    32.5";"    37.2";"  -0.351"
"2019";"Vliegenbos";"BU03636103";"     100";"       .";"       .";"       .";"       ."
"2019";"Tuindorp Nieuwendam";"WK036362  ";"    1800";"    31.6";"    36.1";"    32.3";"  -0.279"
"2019";"Tuindorp Nieuwendam West";"BU03636200";"     500";"    31.8";"    38.9";"    29.3";"  -0.266"
"2019";"Tuindorp Nieuwendam Oost";"BU03636201";"    1300";"    31.5";"    35.0";"    33.5";"  -0.284"
"2019";"Tuindorp Buiksloot";"WK036363  ";"     900";"    34.1";"    38.9";"    27.0";"  -0.364"
"2019";"Blauwe Zand";"BU03636300";"     900";"    34.1";"    38.9";"    27.0";"  -0.364"
